Dimension__維度, Quadrant__象限, X_coordinates__x座標, Y_coordinates__y座標, Z_coordinates__z座標, Content__內容, Area__區域, Data_processed
"overworld", "2", -1, 100, 1, "重生點", "重生點", true
"overworld", "1", 660, 63, 60, "主村莊", "主村莊", true
"overworld", "1", 663, 66, 62, "世界地圖", "主村莊", true
"overworld", "1", 654, 64, 1, "主村莊地獄門", "櫻花水岸", true
"overworld", "1", 648, 64, 6, "水岸咖啡廳", "櫻花水岸", false
"overworld", "1", 626, 62, 14, "水岸水族箱", "櫻花水岸", false
"overworld", "1", 649, 78, -13, "空屋", "櫻花水岸", false
"         ", "", 0, 0, 0, "我是分隔線🤖", "", none
"overworld", "1", 655, 64, 30, "村莊倉庫", "主村莊", true
"overworld", "2", -50, 30, 220, "骷弓塔", "重生點", true
"overworld", "1", 130, 30, 501, "毒蜘蛛塔", "郊區", true
"overworld", "2", -95, -5, 215, "無限岩漿機", "主村莊", true
"overworld", "1", 570, 64, 70, "主村莊村民交易所", "主村莊", true
"overworld", "1", 562, 63, 195, "竹子與甘蔗農場", "主村莊", true
"overworld", "1", 520, 63, 265, "開心農場", "主村莊", true
"overworld", "1", 418, 64, 295, "羊毛農場", "主村莊", false
"overworld", "1", 632, 63, 90, "主村莊鐵巨人塔", "主村莊", false
"         ", "", 0, 0, 0, "我是分隔線🤖", "", none
"overworld", "3", -700, 62, -240, "阿草家", "", true
"overworld", "2", -1350, 64, 300, "工具匠、圖書管理員村莊", "", true
"overworld", "2", -1351, 67, 341, "10綠寶石修補村民", "", false
"overworld", "1", 606, 63, 104, "NK家", "主村莊", true
"overworld", "1", 532, 63, 122, "伐木區", "主村莊", true
"overworld", "1", 535, 63, 125, "村民塔（廢棄）", "主村莊", true
"overworld", "1", 142, 42, 500, "廢棄礦坑", "郊區", true
"overworld", "1", 140, 42, 525, "未探索的鐘乳石洞", "郊區", true
"         ", "", 0, 0, 0, "我是分隔線🤖", "", none
"overworld", "1", 589, 63, 215, "可疑的藝術品", "主村莊", false
"overworld", "1", 631, 62, 137, "快樂的告示牌先生", "主村莊", false
"overworld", "1", 663, 66, 61, "那裡有一隻好可愛的狗溝", "主村莊", false
"overworld", "1", 555, 62, 0, "孤單的Pikmin雕像", "櫻花水岸", false
"overworld", "1", 658, 68, 28, "蜜蜂雕像", "主村莊", false
"overworld", "1", 713, 78, 5, "河狸雕像", "主村莊", false
"overworld", "1", 495, 63, 265, "地鼠雕像", "主村莊", false
"overworld", "1", 529, 62, 238, "鼠鼠雕像", "主村莊", false
"overworld", "1", 603, 62, 233, "水躍魚雕像", "主村莊", false
"overworld", "1", 582, 62, 225, "鯉魚王雕像", "主村莊", false
"overworld", "1", 652, 64, 197, "兔兔雕像其一", "主村莊", false
"overworld", "1", 665, 64, 198, "兔兔雕像其二", "主村莊", false
"overworld", "1", 448, 63, 310, "The BLUE house", "主村莊", false
"overworld", "1", 694, 74, 18, "Kinoko house", "主村莊", false
"overworld", "1", 634, 63, 124, "Sakura house", "主村莊", false
"overworld", "1", 678, 69, 30, "兔兔礦坑、usagi house", "主村莊", false
"overworld", "1", 728, 72, 27, "迷宮", "日式社區", false
"overworld", "1", 448, 63, 310, "玻璃屋", "主村莊", false
"overworld", "1", 593, 63, 58, "mini海帶農場", "主村莊", false
"overworld", "1", 588, 63, 199, "mini兔窩", "主村莊", false
"         ", "", 0, 0, 0, "我是分隔線🤖", "", none
"overworld", "1", 902, 71, 64, "世界樹", "日式社區", false
"overworld", "1", 772, 72, 42, "日式社區", "日式社區", false
"overworld", "1", 822, 63, 173, "日式社區辦公室、地圖", "日式社區", false
"overworld", "1", 847, 72, 57, "日式社區藏書室", "日式社區", false
"overworld", "1", 837, 72, 41, "日式社區湯屋", "日式社區", false
"overworld", "1", 864, 16, 72, "日式社區交易所", "日式社區", false
"overworld", "1", 908, 63, 147, "日式社區造鐵廠", "日式社區", false
"overworld", "1", 934, 67, 103, "花坊", "日式社區", false
"overworld", "1", 823, 72, 79, "拉麵攤", "日式社區", false
"overworld", "1", 952, 71, 77, "銅製裝置藝術", "日式社區", false
"overworld", "1", 939, 71, 40, "天花板地獄門、鳥居", "日式社區", false
"overworld", "1", 772, 73, 230, "風車", "", false
"overworld", "1", 781, 65, 133, "生態池", "", false
"         ", "", 0, 0, 0, "我是分隔線🤖", "", none
"overworld", "4", 1325, 188, -586, "掠奪者農場", "", false
"overworld", "4", 2905, 68, -8332, "紅樹林", "", false
"overworld", "1", 1065, 62, 183, "叢林", "郊外", false
"overworld", "2", -283, 154, 239, "山羊", "郊外", false
"overworld", "2", -480, 115, 145, "雪山", "郊外", false
"overworld", "2", -30, 180, 525, "雪山", "郊外", false
"overworld", "3", -539, 128, -626, "前哨站", "郊外", false
"overworld", "3", -523, 123, -65, "另一片櫻花樹森林", "郊外", false
"overworld", "3", -170, 90, -415, "天然礦坑", "郊外", false
"overworld", "0", 0, 0, 0, "", "", false
"overworld", "0", 0, 0, 0, "", "", false
"overworld", "0", 0, 0, 0, "", "", false
